,Title,Rating
0,Gebo and The Shadow (Gebo et l'ombre),100%
1,Toy Story 4,97%
2,Pretenders,22%
3,Who Killed Cock Robin,40%
4,The Lion King,53%
5,Dilili in Paris (Dilili à Paris),60%
6,Stuber,42%
7,The Riot Act,60%
8,Maiden,98%
9,In the Tall Grass,39%
10,The Dead Center,100%
11,The Parts You Lose,67%
12,Inside Lehman Brothers,83%
13,Wonder Woman: Bloodlines,83%
14,The Death of Dick Long,76%
15,Fast & Furious Presents: Hobbs & Shaw,67%
16,Memory: The Origins of Alien,81%
17,Little Monsters,85%
18,Harpoon,98%
19,3 from Hell,50%
20,The Art of Self-Defense,83%
21,Mary,4%
22,Deadwood: The Movie,97%
23,Ready to Mingle (Bachelorettes) (Solteras),43%
24,Liam Gallagher: As It Was,62%
25,Cuck,44%
26,El Camino: A Breaking Bad Movie,94%
27,Wrinkles the Clown,69%
28,Semper Fi,20%
29,Lucky Day,11%
30,Fractured,67%
31,The Forest of Love,100%
32,Quartet,46%
33,The Grief of Others,100%
34,Spider-Man: Far From Home,90%
35,Super Size Me 2: Holy Chicken!,70%
36,Bodied,90%
37,My Son (Mon garçon),55%
38,Four Hands (Die Vierhändige),83%
39,In the Aisles (In den Gängen),88%
40,The Wedding Year,38%
41,Golden Boy,67%
42,The Weekend,85%
43,Wild Rose,93%
44,"A Bread Factory, Part One: For the Sake of Gold",100%
45,"A Bread Factory, Part Two: Walk with Me a While",100%
46,Seeds,45%
47,Skin,77%
48,American Dreamer,54%
49,"Empathy, Inc.",85%
50,Prey,17%
51,Annabelle Comes Home,64%
52,Crawl,82%
53,Midsommar,83%
54,Tall Girl,38%
55,Corporate Animals,28%
56,Pavarotti,85%
57,The Day Shall Come,66%
58,Auggie,86%
59,Between Two Ferns: The Movie,76%
60,Scarborough,56%
61,Bloodline,50%
62,Running with the Devil,22%
63,10 Minutes Gone,0%
64,"Leaving Home, Coming Home: A Portrait of Robert Frank",89%
65,Dark Phoenix,23%
66,The Last Photograph,71%
67,Shaft,32%
68,Being Frank,32%
69,Blue Note Records: Beyond the Notes,95%
70,Gags the Clown,43%
71,The Dead Don't Die,56%
72,Low Tide,76%
73,Vita & Virginia,40%
74,Echo In the Canyon,94%
75,Night Hunter (Nomis),15%
76,Child's Play,64%
77,The Sound of Silence,63%
78,Untouchable,84%
79,Yesterday,62%
80,Darlin',70%
81,Anna,36%
82,Loopers: The Caddie's Long Walk,75%
83,Satanic Panic,59%
84,Strange But True,47%
85,Spider in the Web,75%
86,Angel of Mine,68%
87,Itsy Bitsy,50%
88,Riot Girls,89%
89,Haunt,67%
90,The Fanatic,18%
91,The Parting Glass,100%
92,Can You Keep a Secret?,30%
93,Artik,100%
94,Bill Burr: Paper Tiger,86%
